HITId	HITTypeId	Title	Reward	AssignmentId	WorkerId	AssignmentStatus	WorkTimeInSeconds	LifetimeApprovalRate	Input1ID	Input2ID	Input3ID	AnswerID	AnswerLabel	FixPosition	FixValue
17	7QT	Is this triple correct or incorrect?	$0.50	82	2133U7HKDLO	Submitted	40	40%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	1.0	CORRECT	yes	yes
17	7QT	Is this triple correct or incorrect?	$0.50	84	1726JMZQW	Submitted	80	70%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	1.0	CORRECT		
17	7QT	Is this triple correct or incorrect?	$0.50	85	2134U7HKDMM	Submitted	2	70%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	2.0	INCORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	88	1726JMZQW	Submitted	240	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	89	2133U7HKDLO	Submitted	40	40%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT	yes	yes
18	7QT	Is this triple correct or incorrect?	$0.50	90	2134U7HKDMM	Submitted	2	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	2.0	INCORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	93	2134U7HKDMM	Submitted	2	70%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	94	1726JMZQW	Submitted	300	70%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	95	2133U7HKDLO	Submitted	42	40%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT	yes	yes
20	7QT	Is this triple correct or incorrect?	$0.50	98	2133U7HKDLO	Submitted	40	40%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT	yes	yes
20	7QT	Is this triple correct or incorrect?	$0.50	99	1726JMZQW	Submitted	229	70%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT		
20	7QT	Is this triple correct or incorrect?	$0.50	100	2134U7HKDMM	Submitted	2	70%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	103	2134U7HKDMM	Submitted	2	70%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	1.0	CORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	104	1726JMZQW	Submitted	300	70%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	2.0	INCORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	105	2133U7HKDLO	Submitted	43	40%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	1.0	CORRECT	yes	yes
22	8QT	Is this triple correct or incorrect?	$0.50	108	GGUI83657S	Submitted	120	85%	wd:Q1720855	wdt:P577	2010-10-01	2.0	INCORRECT	Object	2010-01-01
22	8QT	Is this triple correct or incorrect?	$0.50	109	LPQMUDT6729	Submitted	4	40%	wd:Q1720855	wdt:P577	2010-10-01	2.0	INCORRECT		
22	8QT	Is this triple correct or incorrect?	$0.50	110	ZZHL098SA43	Submitted	2	69%	wd:Q1720855	wdt:P577	2010-10-01	1.0	CORRECT		
23	8QT	Is this triple correct or incorrect?	$0.50	113	GGUI83657S	Submitted	120	85%	wd:Q598752	wdt:P577	2001-01-01	2.0	INCORRECT	Object	2011-01-01
23	8QT	Is this triple correct or incorrect?	$0.50	114	LPQMUDT6729	Submitted	4	40%	wd:Q598752	wdt:P577	2001-01-01	2.0	INCORRECT		
23	8QT	Is this triple correct or incorrect?	$0.50	115	ZZHL098SA43	Submitted	2	69%	wd:Q598752	wdt:P577	2001-01-01	2.0	INCORRECT	Object	2011-01-01
24	8QT	Is this triple correct or incorrect?	$0.50	118	GGUI83657S	Submitted	120	85%	wd:Q427386	wdt:P2142	176997186	2.0	INCORRECT	Object	176997168
24	8QT	Is this triple correct or incorrect?	$0.50	119	LPQMUDT6729	Submitted	4	40%	wd:Q427386	wdt:P2142	176997186	1.0	INCORRECT		
24	8QT	Is this triple correct or incorrect?	$0.50	120	ZZHL098SA43	Submitted	2	69%	wd:Q427386	wdt:P2142	176997186	2.0	INCORRECT	Object	176997168
25	8QT	Is this triple correct or incorrect?	$0.50	123	GGUI83657S	Submitted	120	85%	wd:Q321561	wdt:P577	1982-01-01	1.0	CORRECT		
25	8QT	Is this triple correct or incorrect?	$0.50	124	LPQMUDT6729	Submitted	4	40%	wd:Q321561	wdt:P577	1982-01-01	1.0	CORRECT		
25	8QT	Is this triple correct or incorrect?	$0.50	125	ZZHL098SA43	Submitted	2	69%	wd:Q321561	wdt:P577	1982-01-01	1.0	CORRECT		
26	8QT	Is this triple correct or incorrect?	$0.50	128	GGUI83657S	Submitted	120	85%	wd:Q1410031	wdt:P577	2010-10-01	2.0	INCORRECT	Object	2011-01-01
26	8QT	Is this triple correct or incorrect?	$0.50	129	LPQMUDT6729	Submitted	4	40%	wd:Q1410031	wdt:P577	2010-10-01	1.0	CORRECT		
26	8QT	Is this triple correct or incorrect?	$0.50	130	ZZHL098SA43	Submitted	2	69%	wd:Q1410031	wdt:P577	2010-10-01	1.0	CORRECT		
27	8QT	Is this triple correct or incorrect?	$0.50	131	ZZHL098SA43	Submitted	2	69%	wd:Q20001199	wdt:P2142	863756050	2.0	INCORRECT	Object	863756051
27	8QT	Is this triple correct or incorrect?	$0.50	133	GGUI83657S	Submitted	120	85%	wd:Q20001199	wdt:P2142	863756050	2.0	INCORRECT	Object	863756051
27	8QT	Is this triple correct or incorrect?	$0.50	135	LPQMUDT6729	Submitted	4	40%	wd:Q20001199	wdt:P2142	863756050	1.0	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	137	GGUI83657S	Submitted	120	85%	wd:Q15055043	wdt:P2142	511200000	1.0	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	138	LPQMUDT6729	Submitted	4	40%	wd:Q15055043	wdt:P2142	511200000	1.0	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	139	ZZHL098SA43	Submitted	2	69%	wd:Q15055043	wdt:P2142	511200000	1.0	CORRECT		
29	8QT	Is this triple correct or incorrect?	$0.50	143	GGUI83657S	Submitted	120	85%	wd:Q639070	wdt:P161	wd:Q2865083	2.0	INCORRECT	Object	Q5423258
29	8QT	Is this triple correct or incorrect?	$0.50	144	LPQMUDT6729	Submitted	4	40%	wd:Q639070	wdt:P161	wd:Q2865083	1.0	CORRECT		
29	8QT	Is this triple correct or incorrect?	$0.50	145	ZZHL098SA43	Submitted	2	69%	wd:Q639070	wdt:P161	wd:Q2865083	1.0	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	148	ZZHL098SA43	Submitted	2	69%	wd:Q23999890	wdt:P577	2015-01-05	1.0	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	149	GGUI83657S	Submitted	120	85%	wd:Q23999890	wdt:P577	2015-01-05	1.0	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	150	LPQMUDT6729	Submitted	4	40%	wd:Q23999890	wdt:P577	2015-01-05	1.0	CORRECT		
31	8QT	Is this triple correct or incorrect?	$0.50	153	GGUI83657S	Submitted	120	85%	wd:Q841233	wdt:P2142	10696220	2.0	INCORRECT	Object	10696210
31	8QT	Is this triple correct or incorrect?	$0.50	154	ZZHL098SA43	Submitted	2	69%	wd:Q841233	wdt:P2142	10696220	1.0	CORRECT		
31	8QT	Is this triple correct or incorrect?	$0.50	155	LPQMUDT6729	Submitted	4	40%	wd:Q841233	wdt:P2142	10696220	2.0	INCORRECT		
32	8QT	Is this triple correct or incorrect?	$0.50	158	ZZHL098SA43	Submitted	2	69%	wd:Q2893887	wdt:P161	wd:Q105825	2.0	INCORRECT		
32	8QT	Is this triple correct or incorrect?	$0.50	159	GGUI83657S	Submitted	120	85%	wd:Q2893887	wdt:P161	wd:Q105825	2.0	INCORRECT	Subject	Q1168152
32	8QT	Is this triple correct or incorrect?	$0.50	160	LPQMUDT6729	Submitted	4	40%	wd:Q2893887	wdt:P161	wd:Q105825	1.0	CORRECT		
33	8QT	Is this triple correct or incorrect?	$0.50	163	ZZHL098SA43	Submitted	2	69%	wd:Q19803136	wdt:P577	2015-06-27	1.0	CORRECT		
33	8QT	Is this triple correct or incorrect?	$0.50	164	GGUI83657S	Submitted	120	85%	wd:Q19803136	wdt:P577	2015-06-27	1.0	CORRECT		
33	8QT	Is this triple correct or incorrect?	$0.50	165	LPQMUDT6729	Submitted	4	40%	wd:Q19803136	wdt:P577	2015-06-27	1.0	CORRECT		
34	8QT	Is this triple correct or incorrect?	$0.50	168	GGUI83657S	Submitted	120	85%	wd:Q1039395	wdt:P161	wd:Q17386547	2.0	INCORRECT	Subject	Q908556
34	8QT	Is this triple correct or incorrect?	$0.50	169	LPQMUDT6729	Submitted	4	40%	wd:Q1039395	wdt:P161	wd:Q17386547	2.0	INCORRECT		
34	8QT	Is this triple correct or incorrect?	$0.50	170	ZZHL098SA43	Submitted	2	69%	wd:Q1039395	wdt:P161	Q17386547	2.0	INCORRECT		
35	8QT	Is this triple correct or incorrect?	$0.50	173	ZZHL098SA43	Submitted	2	69%	wd:Q202211	wdt:P495	wd:Q30	1.0	CORRECT		
35	8QT	Is this triple correct or incorrect?	$0.50	174	GGUI83657S	Submitted	120	85%	wd:Q202211	wdt:P495	wd:Q30	2.0	INCORRECT	Subject	Q1471671
35	8QT	Is this triple correct or incorrect?	$0.50	175	LPQMUDT6729	Submitted	4	40%	wd:Q202211	wdt:P495	wd:Q30	1.0	CORRECT		
36	8QT	Is this triple correct or incorrect?	$0.50	178	GGUI83657S	Submitted	120	85%	wd:Q28974159	wdt:P750	wd:Q907311	2.0	INCORRECT	Subject	Q1722254
36	8QT	Is this triple correct or incorrect?	$0.50	179	ZZHL098SA43	Submitted	2	69%	wd:Q28974159	wdt:P750	wd:Q907311	1.0	CORRECT		
36	8QT	Is this triple correct or incorrect?	$0.50	180	LPQMUDT6729	Submitted	4	40%	wd:Q28974159	wdt:P750	wd:Q907311	2.0	INCORRECT		
37	8QT	Is this triple correct or incorrect?	$0.50	183	GGUI83657S	Submitted	120	85%	wd:Q326914	wdt:P136	wd:Q8261	1.0	CORRECT		
37	8QT	Is this triple correct or incorrect?	$0.50	184	LPQMUDT6729	Submitted	4	40%	wd:Q326914	wdt:P136	wd:Q8261	1.0	CORRECT		
37	8QT	Is this triple correct or incorrect?	$0.50	185	ZZHL098SA43	Submitted	2	69%	wd:Q326914	wdt:P136	wd:Q8261	2.0	INCORRECT		
38	8QT	Is this triple correct or incorrect?	$0.50	187	GGUI83657S	Submitted	120	85%	wd:Q885281	wdt:P161	wd:Q3087184	2.0	INCORRECT	Subject	Q409022
38	8QT	Is this triple correct or incorrect?	$0.50	189	LPQMUDT6729	Submitted	4	40%	wd:Q885281	wdt:P161	wd:Q3087184	1.0	CORRECT		
38	8QT	Is this triple correct or incorrect?	$0.50	190	ZZHL098SA43	Submitted	2	69%	wd:Q885281	wdt:P161	wd:Q3087184	2.0	INCORRECT		
39	8QT	Is this triple correct or incorrect?	$0.50	193	LPQMUDT6729	Submitted	4	40%	wd:Q814781	wdt:.P344	wd:Q40087803	1.0	CORRECT		
39	8QT	Is this triple correct or incorrect?	$0.50	194	GGUI83657S	Submitted	120	85%	wd:Q814781	wdt:.P344	wd:Q40087803	1.0	CORRECT		
39	8QT	Is this triple correct or incorrect?	$0.50	195	ZZHL098SA43	Submitted	2	69%	wd:Q814781	wdt:.P344	wd:Q40087803	1.0	CORRECT		
40	8QT	Is this triple correct or incorrect?	$0.50	198	GGUI83657S	Submitted	120	85%	wd:Q6548158	wdt:P136	wd:Q33999	2.0	INCORRECT	Predicate	P106
40	8QT	Is this triple correct or incorrect?	$0.50	199	LPQMUDT6729	Submitted	4	40%	wd:Q6548158	wdt:P136	wd:Q33999	2.0	INCORRECT		
40	8QT	Is this triple correct or incorrect?	$0.50	200	ZZHL098SA43	Submitted	2	69%	wd:Q6548158	wdt:P136	wd:Q33999	1.0	CORRECT		
41	8QT	Is this triple correct or incorrect?	$0.50	203	GGUI83657S	Submitted	120	85%	wd:Q1123629	wdt:P725	wd:Q211040	1.0	CORRECT		
41	8QT	Is this triple correct or incorrect?	$0.50	204	ZZHL098SA43	Submitted	2	69%	wd:Q1123629	wdt:P725	wd:Q211040	2.0	INCORRECT	Predicate	P161
41	8QT	Is this triple correct or incorrect?	$0.50	205	LPQMUDT6729	Submitted	4	40%	wd:Q1123629	wdt:P725	wd:Q211040	1.0	CORRECT		
42	9QT	Is this triple correct or incorrect?	$0.50	206	AALKMII97	Submitted	240	98%	wd:Q1780602	wdt:P921	wd:Q295093	2.0	INCORRECT	Predicate	P344
42	9QT	Is this triple correct or incorrect?	$0.50	208	GGUI83657S	Submitted	120	85%	wd:Q1780602	wdt:P921	wd:Q295093	2.0	INCORRECT	Predicate	P344
42	9QT	Is this triple correct or incorrect?	$0.50	209	WWHL098SA43	Submitted	10	69%	wd:Q1780602	wdt:P921	wd:Q295093	2.0	INCORRECT	I don't understand	I don't understand
43	9QT	Is this triple correct or incorrect?	$0.50	211	AALKMII97	Submitted	240	98%	wd:Q610633	wdt:P2554	wd:Q1700810	2.0	INCORRECT	Predicate	P58
43	9QT	Is this triple correct or incorrect?	$0.50	213	GGUI83657S	Submitted	120	85%	wd:Q610633	wdt:P2554	wd:Q1700810	2.0	INCORRECT	Predicate	P58
43	9QT	Is this triple correct or incorrect?	$0.50	214	WWHL098SA43	Submitted	10	69%	wd:Q610633	wdt:P2554	wd:Q1700810	2.0	INCORRECT	I don't understand	I don't understand
44	9QT	Is this triple correct or incorrect?	$0.50	216	AALKMII97	Submitted	240	98%	wd:Q2188914	wdt:P161	wd:Q2416526	2.0	INCORRECT	Object	Q17350908
44	9QT	Is this triple correct or incorrect?	$0.50	219	GGUI83657S	Submitted	120	85%	wd:Q2188914	wdt:P161	wd:Q2416526	2.0	INCORRECT	Object	Q17350908
44	9QT	Is this triple correct or incorrect?	$0.50	220	WWHL098SA43	Submitted	10	69%	wd:Q2188914	wdt:P161	wd:Q2416526	2.0	INCORRECT	I don't understand	I don't understand
45	9QT	Is this triple correct or incorrect?	$0.50	221	AALKMII97	Submitted	240	98%	wd:Q1032889	wdt:P58	wd:Q4762311	1.0	CORRECT		
45	9QT	Is this triple correct or incorrect?	$0.50	223	GGUI83657S	Submitted	120	85%	wd:Q1032889	wdt:P58	wd:Q4762311	2.0	INCORRECT	Object	Q3194791
45	9QT	Is this triple correct or incorrect?	$0.50	225	WWHL098SA43	Submitted	10	69%	wd:Q1032889	wdt:P58	wd:Q4762311	2.0	INCORRECT	I don't understand	I don't understand
46	9QT	Is this triple correct or incorrect?	$0.50	226	AALKMII97	Submitted	240	98%	wd:Q209538	wdt:P3650	wd:Q28732983	2.0	INCORRECT	Object	
46	9QT	Is this triple correct or incorrect?	$0.50	228	GGUI83657S	Submitted	120	85%	wd:Q209538	wdt:P3650	wd:Q28732983	2.0	INCORRECT	Object	Q28732985
46	9QT	Is this triple correct or incorrect?	$0.50	229	WWHL098SA43	Submitted	10	69%	wd:Q209538	wdt:P3650	wd:Q28732983	2.0	INCORRECT	I don't understand	I don't understand
47	9QT	Is this triple correct or incorrect?	$0.50	231	AALKMII97	Submitted	240	98%	wd:Q31202708	wdt:P3092	wd:Q4805527	2.0	INCORRECT	Predicate	P58
47	9QT	Is this triple correct or incorrect?	$0.50	233	GGUI83657S	Submitted	120	85%	wd:Q31202708	wdt:P3092	wd:Q4805527	2.0	INCORRECT	Predicate	P58
47	9QT	Is this triple correct or incorrect?	$0.50	235	WWHL098SA43	Submitted	10	69%	wd:Q31202708	wdt:P3092	wd:Q4805527	2.0	INCORRECT	I don't understand	I don't understand
48	9QT	Is this triple correct or incorrect?	$0.50	236	AALKMII97	Submitted	240	98%	wd:Q2576243	wdt:P364	wd:Q1860	1.0	CORRECT		
48	9QT	Is this triple correct or incorrect?	$0.50	239	GGUI83657S	Submitted	120	85%	wd:Q2576243	wdt:P364	wd:Q1860	1.0	CORRECT		
48	9QT	Is this triple correct or incorrect?	$0.50	240	WWHL098SA43	Submitted	10	69%	wd:Q2576243	wdt:P364	wd:Q1860	2.0	INCORRECT	I don't understand	I don't understand
49	9QT	Is this triple correct or incorrect?	$0.50	241	AALKMII97	Submitted	240	98%	wd:Q4335275	wdt:P520	wd:Q52382294	2.0	INCORRECT	Subject	Q16795448
49	9QT	Is this triple correct or incorrect?	$0.50	244	GGUI83657S	Submitted	120	85%	wd:Q4335275	wdt:P520	wd:Q52382294	1.0	CORRECT		
49	9QT	Is this triple correct or incorrect?	$0.50	245	WWHL098SA43	Submitted	10	69%	wd:Q4335275	wdt:P520	wd:Q52382294	2.0	INCORRECT	I don't understand	I don't understand
50	9QT	Is this triple correct or incorrect?	$0.50	246	AALKMII97	Submitted	240	98%	wd:Q931557	wdt:P750	wd:Q80948336	1.0	CORRECT		
50	9QT	Is this triple correct or incorrect?	$0.50	248	GGUI83657S	Submitted	120	85%	wd:Q931557	wdt:P750	wd:Q80948336	1.0	CORRECT		
50	9QT	Is this triple correct or incorrect?	$0.50	250	WWHL098SA43	Submitted	10	69%	wd:Q931557	wdt:P750	wd:Q80948336	2.0	INCORRECT	I don't understand	I don't understand
51	9QT	Is this triple correct or incorrect?	$0.50	251	AALKMII97	Submitted	240	98%	wd:Q2235250	wdt:P161	wd:Q599673	1.0	CORRECT		
51	9QT	Is this triple correct or incorrect?	$0.50	254	GGUI83657S	Submitted	120	85%	wd:Q2235250	wdt:P161	wd:Q599673	1.0	CORRECT		
51	9QT	Is this triple correct or incorrect?	$0.50	255	WWHL098SA43	Submitted	10	69%	wd:Q2235250	wdt:P161	wd:Q599673	2.0	INCORRECT	I don't understand	I don't understand
52	9QT	Is this triple correct or incorrect?	$0.50	256	AALKMII97	Submitted	240	98%	wd:Q696646	wdt:P3174	wd:Q1315917	1.0	CORRECT		
52	9QT	Is this triple correct or incorrect?	$0.50	258	GGUI83657S	Submitted	120	85%	wd:Q696646	wdt:P3174	wd:Q1315917	1.0	CORRECT		
52	9QT	Is this triple correct or incorrect?	$0.50	259	WWHL098SA43	Submitted	10	69%	wd:Q696646	wdt:P3174	wd:Q1315917	2.0	INCORRECT	I don't understand	I don't understand
53	9QT	Is this triple correct or incorrect?	$0.50	261	AALKMII97	Submitted	240	98%	wd:Q6782400	wdt:P945	wd:Q17	1.0	INCORRECT	Predicate	P27
53	9QT	Is this triple correct or incorrect?	$0.50	263	WWHL098SA43	Submitted	10	69%	wd:Q6782400	wdt:P945	wd:Q17	2.0	INCORRECT	I don't understand	I don't understand
53	9QT	Is this triple correct or incorrect?	$0.50	264	GGUI83657S	Submitted	120	85%	wd:Q6782400	wdt:P945	wd:Q17	1.0	CORRECT		
54	9QT	Is this triple correct or incorrect?	$0.50	266	AALKMII97	Submitted	240	98%	wd:Q6538	wdt:P119	wd:Q1792	2.0	INCORRECT	Predicate	P19
54	9QT	Is this triple correct or incorrect?	$0.50	268	GGUI83657S	Submitted	120	85%	wd:Q6538	wdt:P119	wd:Q1792	1.0	CORRECT		
